Bank,FY, Cur_TA_ENR , Pre_Total_Asset , Pre_TA_ENR , Pre_Liability , Pre_Equity , Pre_Retain_earning ,Crisis,Structure_change,Top10,Domestic,NII 
SCB,2015,$169.23 ,$242.22 ,$133.28 ,$229.04 ,$13.19 ,$0.46 ,0,0,0,1,$4.51 
SCB,2016,$220.07 ,$311.51 ,$169.23 ,$296.06 ,$15.24 ,$0.50 ,0,0,0,1,$2.93 
SCB,2017,$264.15 ,$361.68 ,$220.07 ,$346.22 ,$15.46 ,$0.53 ,0,0,0,1,$1.89 
SCB,2018,$299.17 ,$444.03 ,$264.15 ,$428.50 ,$15.37 ,$0.59 ,0,0,0,1,$2.91 
SCB,2019,$330.94 ,$508.95 ,$299.17 ,$492.38 ,$16.42 ,$0.67 ,0,0,0,1,$4.03 
SCB,2020,$348.05 ,$567.91 ,$330.94 ,$551.27 ,$16.48 ,$0.71 ,1,0,0,1,$3.51 
SCB,2021,$353.30 ,$633.80 ,$348.05 ,$617.18 ,$16.61 ,$0.67 ,1,0,0,1,$9.08 
VPB,2015,$286.32 ,$377.20 ,$253.10 ,$334.99 ,$42.21 ,$11.81 ,0,0,1,1,$32.35 
VPB,2016,$345.39 ,$419.03 ,$286.32 ,$366.23 ,$52.79 ,$17.42 ,0,0,1,1,$34.35 
VPB,2017,$424.66 ,$547.41 ,$345.39 ,$461.13 ,$86.28 ,$22.44 ,0,0,1,1,$41.02 
VPB,2018,$218.40 ,$631.07 ,$424.66 ,$527.56 ,$103.52 ,$16.76 ,0,0,1,1,$24.70 
VPB,2019,$253.10 ,$323.29 ,$218.40 ,$288.54 ,$34.75 ,$5.19 ,0,0,1,1,$30.67 
VPB,2020,$286.32 ,$377.20 ,$253.10 ,$334.99 ,$42.21 ,$11.81 ,1,0,1,1,$32.35 
VPB,2021,$345.39 ,$419.03 ,$286.32 ,$366.23 ,$52.79 ,$17.42 ,1,1,1,1,$34.35 
VCB,2016,$452.68 ,$674.39 ,$378.54 ,$629.22 ,$45.17 ,$7.48 ,0,0,1,1,$18.53 
VCB,2017,$535.32 ,$787.91 ,$452.68 ,$739.81 ,$48.10 ,$5.83 ,0,0,1,1,$21.94 
VCB,2018,$621.57 ,"$1,035.29 ",$535.32 ,$982.74 ,$52.56 ,$8.72 ,0,0,1,1,$28.41 
VCB,2019,$724.29 ,"$1,074.03 ",$621.57 ,"$1,011.85 ",$62.18 ,$16.14 ,0,0,1,1,$34.58 
VCB,2020,$820.55 ,"$1,222.72 ",$724.29 ,"$1,141.84 ",$80.88 ,$26.06 ,1,0,1,1,$36.29 
VCB,2021,$934.77 ,"$1,326.23 ",$820.55 ,"$1,232.14 ",$94.09 ,$36.65 ,1,0,1,1,$42.40 
VCB,2022,"$1,120.29 ","$1,414.67 ",$934.77 ,"$1,305.56 ",$109.12 ,$48.43 ,1,0,1,1,$53.25 
HSBC,2016,$27.08 ,$84.29 ,$32.79 ,$74.00 ,$10.29 ,$1.59 ,0,0,0,0,$2.26 
HSBC,2017,$31.94 ,$72.22 ,$27.08 ,$62.23 ,$9.99 ,$1.14 ,0,0,0,0,$2.31 
HSBC,2018,$39.33 ,$71.14 ,$31.94 ,$60.51 ,$10.63 ,$1.57 ,0,0,0,0,$2.73 
